RegulatedEntityId,Regulated Entity Name,Regulated Entity Group,Donations Value,Donation Events,Donation Mean
954.0,Vote Cruelty Free,Very Small Entity,31905.0,5,6381.0
956.0,Vote For A Change Ltd,Small Entity,539016.6799999999,7,77002.38285714285
958.0,Democratic Reform Company,Small Entity,599721.66,9,66635.74
968.0,A Minority Pastime Limited,Single Donation Entity,6612.0,1,6612.0
969.0,Young Britons' Foundation,Very Small Entity,54999.0,2,27499.5
974.0,Yes4Thenortheast,Small Entity,320307.72,14,22879.122857142855
979.0,County Durham Council Supporters Club,Very Small Entity,5710.0,2,2855.0
983.0,North East Says No Ltd,Small Entity,160327.31,6,26721.218333333334
988.0,Friends Of Northumberland County (Fonc),Single Donation Entity,5000.0,1,5000.0
991.0,South East Northumberland Unitary Council,Single Donation Entity,3247.75,1,3247.75
1015.0,Yes In May 2011 Ltd,Small Medium Entity,2228114.19,49,45471.71816326531
1017.0,No Campaign Limited,Small Medium Entity,2518299.66,82,30710.971463414637
1018.0,Labour No To Av,Small Entity,401990.98000000004,6,66998.49666666667
1022.0,Charles Kennedy,Small Medium Entity,219600.0,33,6654.545454545455
1023.0,Imelda Mary Read,Small Medium Entity,37877.65,20,1893.8825000000002
1024.0,Brian Simpson,Small Entity,25758.9,12,2146.5750000000003
1025.0,Christian Socialist Movement,Very Small Entity,5400.0,2,2700.0
1026.0,Roger Casale,Small Entity,18770.309999999998,9,2085.5899999999997
1027.0,Roy Perry,Very Small Entity,6933.9,2,3466.95
1028.0,Edward Davey,Small Entity,14607.0,6,2434.5
1029.0,Andrew Lansley,Very Small Entity,46245.2,4,11561.3
1030.0,Robert Laxton,Very Small Entity,13897.48,3,4632.493333333333
1032.0,Lord Richard Inglewood,Small Entity,26073.6,6,4345.599999999999
1033.0,Gillian Shephard,Single Donation Entity,5245.2,1,5245.2
1034.0,Desmond Swayne,Very Small Entity,13745.2,3,4581.733333333334
1035.0,Dr Liam Fox,Medium Entity,1649064.68,176,9369.685681818182
1036.0,Michael Fabricant,Very Small Entity,10345.2,2,5172.6
1037.0,Struan Stevenson,Single Donation Entity,3933.9,1,3933.9
1038.0,Christopher Heaton-Harris,Single Donation Entity,3933.9,1,3933.9
1039.0,Michael Denzil Xavier Portillo,Small Medium Entity,96080.0,27,3558.5185185185187
1040.0,David Clelland,Very Small Entity,6845.2,2,3422.6
1041.0,Dame Anne Begg,Very Small Entity,9754.33,3,3251.443333333333
1042.0,John Whittingdale,Small Entity,27914.27,10,2791.427
1043.0,Barbara Follett,Single Donation Entity,5245.2,1,5245.2
1044.0,Nicholas John Gibb,Single Donation Entity,5245.2,1,5245.2
1045.0,John Greenway,Single Donation Entity,5245.2,1,5245.2
1046.0,Robert Walter,Small Entity,18490.2,6,3081.7000000000003
1047.0,James Paice,Single Donation Entity,5245.2,1,5245.2
1048.0,Jonathan Sayeed,Single Donation Entity,5245.2,1,5245.2
1049.0,Dominic Grieve,Very Small Entity,8245.2,2,4122.6
1050.0,Caroline Spelman,Small Entity,26513.7,6,4418.95
1051.0,Dr Rudi Vis,Single Donation Entity,5245.2,1,5245.2
1052.0,Bill Newton Dunn,Very Small Entity,15735.6,4,3933.9
1053.0,Chris Huhne,Small Medium Entity,260381.12,68,3829.1341176470587
1054.0,Lord Nicholas Bethell,Single Donation Entity,3933.9,1,3933.9
1055.0,Philip Bradbourne,Single Donation Entity,3933.9,1,3933.9
1056.0,Andrew Duff,Single Donation Entity,3933.9,1,3933.9
1057.0,Graham Watson,Single Donation Entity,3933.9,1,3933.9
1058.0,Liberal Democrats Scottish Parliamentary Party,Small Medium Entity,113270.7,20,5663.535
1059.0,Jacqueline Foster,Very Small Entity,7758.9,2,3879.45
1060.0,David Sumberg,Very Small Entity,7758.9,2,3879.45
1061.0,Crispin Jeremy Rupert Blunt,Small Medium Entity,132516.11,34,3897.532647058823
1062.0,Richard Balfe,Single Donation Entity,3933.9,1,3933.9
1063.0,Tom Harris,Single Donation Entity,5245.2,1,5245.2
1064.0,Dr Robert Spink,Very Small Entity,15006.5,4,3751.625
1066.0,Tim Boswell,Very Small Entity,13859.2,2,6929.6
1067.0,Thomas Mcavoy,Single Donation Entity,5245.2,1,5245.2
1068.0,Stephen S. Hughes,Single Donation Entity,3933.9,1,3933.9
1069.0,Fraser Kemp,Very Small Entity,6653.4,2,3326.7
1070.0,Syd Rapson,Single Donation Entity,5245.2,1,5245.2
1071.0,Peter Bottomley,Very Small Entity,10345.2,2,5172.6
1072.0,Tony Baldry,Very Small Entity,12345.2,3,4115.066666666667
1073.0,Ann Mckechin,Very Small Entity,6329.2,2,3164.6
1074.0,Howard Flight,Single Donation Entity,5245.2,1,5245.2
1075.0,Stephen Hesford,Single Donation Entity,5245.2,1,5245.2
1076.0,Malcolm Moss,Very Small Entity,14758.2,3,4919.400000000001
1077.0,James Bovan,Single Donation Entity,3933.9,1,3933.9
1078.0,Alex Salmond,Very Small Entity,27431.97,4,6857.9925
1079.0,David Lammy,Small Medium Entity,490241.35,78,6285.1455128205125
1080.0,Tim Collins,Very Small Entity,16888.2,2,8444.1
1081.0,Jimmy Hood,Very Small Entity,13645.2,3,4548.400000000001
1082.0,Gary Titley,Very Small Entity,15258.9,4,3814.725
1083.0,Roger Godsiff,Small Entity,31389.0,10,3138.9
1084.0,Claire Ward,Very Small Entity,9745.2,2,4872.6
1086.0,Philip Bushill-Matthews,Single Donation Entity,3933.9,1,3933.9
1087.0,John Redwood,Single Donation Entity,5245.2,1,5245.2
1088.0,George Iain Duncan-Smith,Small Medium Entity,100007.5,18,5555.972222222223
1089.0,Hugh Bayley,Very Small Entity,17345.2,3,5781.733333333334
1090.0,John Cummings,Single Donation Entity,5245.2,1,5245.2
1091.0,John Corrie,Single Donation Entity,3933.9,1,3933.9
1092.0,Piara Khabra,Single Donation Entity,5245.2,1,5245.2
1093.0,Nigel Evans,Small Medium Entity,94135.2,26,3620.584615384615
1094.0,Dr Gavin Strang,Single Donation Entity,5245.2,1,5245.2
1095.0,Andrew Dismore,Very Small Entity,6445.2,2,3222.6
1096.0,Nigel Farage,Small Medium Entity,62107.9,16,3881.74375
1097.0,David Hamilton,Very Small Entity,18241.2,5,3648.2400000000002
1098.0,David Lidington,Small Entity,40652.25,12,3387.6875
1099.0,Alan Meale,Very Small Entity,12245.2,2,6122.6
1100.0,Ian Hudghton,Single Donation Entity,3933.9,1,3933.9
1101.0,Roger Helmer,Single Donation Entity,3933.9,1,3933.9
1102.0,Jonathan Evans,Very Small Entity,8933.9,2,4466.95
1103.0,Virginia Bottomley,Single Donation Entity,5245.2,1,5245.2
1104.0,Jacqui Lait,Single Donation Entity,5245.2,1,5245.2
1105.0,Dr Howard Stoate,Very Small Entity,10745.2,2,5372.6
1106.0,John Robertson,Small Entity,33401.37,10,3340.137
1107.0,Dr Charles Tannock,Very Small Entity,17584.87,5,3516.9739999999997
1108.0,James Provan,Single Donation Entity,3933.9,1,3933.9
1109.0,Daniel Hannan,Single Donation Entity,3933.9,1,3933.9
1110.0,Cheryl Gillan,Single Donation Entity,5245.2,1,5245.2
1111.0,Bill Tynan,Single Donation Entity,5245.2,1,5245.2
1112.0,Edward Garnier,Small Entity,24817.41,8,3102.17625
1113.0,Peter Lilley,Very Small Entity,13770.71,5,2754.142
1114.0,Michael Clapham,Very Small Entity,10345.2,2,5172.6
1115.0,George Osborne,Small Medium Entity,360414.51,31,11626.274516129033
1116.0,Frank Roy,Very Small Entity,11770.2,3,3923.4
1117.0,Julie Kirkbride,Very Small Entity,12302.05,2,6151.025
1118.0,Brian White,Single Donation Entity,5245.2,1,5245.2
1119.0,James Chapman,Single Donation Entity,5245.2,1,5245.2
1120.0,David Chaytor,Very Small Entity,15345.2,3,5115.066666666667
1121.0,Dr Lynne Jones,Very Small Entity,6415.2,2,3207.6
1122.0,Charles Hendry,Very Small Entity,9845.2,4,2461.3
1123.0,Dr Brian Iddon,Very Small Entity,10345.2,2,5172.6
1124.0,Robert Goodwill,Small Entity,39782.6,10,3978.2599999999998
1125.0,Keith Simpson,Small Entity,42224.49,10,4222.449
1126.0,Martyn Jones,Very Small Entity,10345.2,2,5172.6
1127.0,Rosemary Mckenna,Single Donation Entity,5245.2,1,5245.2
1128.0,Gerald Kaufman,Single Donation Entity,5245.2,1,5245.2
1129.0,Michael Cashman,Single Donation Entity,3933.9,1,3933.9
1130.0,Oliver Heald,Single Donation Entity,5245.2,1,5245.2
1131.0,Quentin Davies,Very Small Entity,6545.2,2,3272.6
1132.0,Linda Mcavan,Very Small Entity,7758.9,2,3879.45
1133.0,David Davis,Small Medium Entity,878596.06,96,9152.042291666667
1134.0,Theresa Villiers,Small Entity,13847.65,6,2307.9416666666666
1135.0,Adam Ingram,Single Donation Entity,5245.2,1,5245.2
1136.0,Archy Kirkwood,Single Donation Entity,5245.2,1,5245.2
1137.0,David Cameron,Small Medium Entity,1030460.4,98,10514.902040816327
1138.0,Bridget Prentice,Single Donation Entity,5245.2,1,5245.2
1139.0,Tony Worthington,Single Donation Entity,5245.2,1,5245.2
1140.0,Kevin Mcnamara,Single Donation Entity,5245.2,1,5245.2
1141.0,Nigel Jones,Single Donation Entity,5245.2,1,5245.2
1142.0,Peter Viggers,Very Small Entity,14245.2,3,4748.400000000001
1143.0,Menzies Campbell Cbe,Very Small Entity,25995.2,4,6498.8
1144.0,Patrick Mercer,Very Small Entity,6322.9,2,3161.45
1145.0,Roger Berry,Single Donation Entity,5245.2,1,5245.2
1146.0,John Austin,Very Small Entity,10845.2,3,3615.066666666667
1147.0,Nigel Waterson,Very Small Entity,6245.2,2,3122.6
1148.0,Ian Davidson,Very Small Entity,8545.2,2,4272.6
1149.0,Paul Tyler,Single Donation Entity,5245.2,1,5245.2
1150.0,Matthew Taylor,Very Small Entity,13245.2,3,4415.066666666667
1151.0,Bob Blizzard,Small Entity,17445.2,6,2907.5333333333333
1152.0,Terence Anthony Gordon Davis,Single Donation Entity,5245.2,1,5245.2
1153.0,Paul Burstow,Single Donation Entity,5245.2,1,5245.2
1154.0,Robert Jackson,Single Donation Entity,5245.2,1,5245.2
1155.0,Laura Moffatt,Very Small Entity,6943.2699999999995,2,3471.6349999999998
1156.0,John Thurso,Single Donation Entity,5245.2,1,5245.2
1157.0,Julian Brazier,Very Small Entity,6509.75,2,3254.875
1158.0,Iain Stewart,Small Medium Entity,101685.36,39,2607.316923076923
1159.0,Eric Illsley,Very Small Entity,10245.2,2,5122.6
1160.0,Sydney Chapman,Single Donation Entity,5245.2,1,5245.2
1161.0,Clive Betts,Very Small Entity,10345.2,2,5172.6
1162.0,James Gray,Very Small Entity,13118.2,5,2623.6400000000003
1163.0,Sandra Osborne,Single Donation Entity,5245.2,1,5245.2
1164.0,Elfyn Llwyd,Very Small Entity,15977.189999999999,5,3195.4379999999996
1165.0,Henry Bellingham,Single Donation Entity,5245.2,1,5245.2
1166.0,Bill Rammell,Very Small Entity,10345.2,2,5172.6
1167.0,Gary Nicholas Streeter,Very Small Entity,18033.2,4,4508.3
1168.0,Chris Pond,Single Donation Entity,5245.2,1,5245.2
1169.0,Nicholas Palmer,Very Small Entity,8245.2,3,2748.4
1170.0,Michael Connarty,Very Small Entity,16446.7,5,3289.34
1171.0,Frank Cook,Very Small Entity,8245.2,2,4122.6
1172.0,Chris Smith,Single Donation Entity,5245.2,1,5245.2
1173.0,Stephen Pound,Small Entity,21602.2,6,3600.366666666667
1174.0,Denis Macshane,Very Small Entity,16764.41,5,3352.882
1175.0,John Gummer,Single Donation Entity,5245.2,1,5245.2
1176.0,Michael Weir,Very Small Entity,6322.2,2,3161.1
1177.0,Michael Ancram,Small Medium Entity,169612.94,36,4711.470555555556
1178.0,Hugh Robertson,Very Small Entity,7920.2,3,2640.0666666666666
1179.0,Colin Edward Breed,Very Small Entity,11595.2,3,3865.066666666667
1180.0,Matthew Green,Single Donation Entity,5245.2,1,5245.2
1181.0,Kevin Brennan,Very Small Entity,6945.2,2,3472.6
1182.0,David Hanson,Very Small Entity,10345.2,2,5172.6
1183.0,Dan Norris,Very Small Entity,9484.2,2,4742.1
1184.0,Stephen R O'Brien,Small Medium Entity,350160.28,26,13467.703076923079
1185.0,David Chidgey,Single Donation Entity,5245.2,1,5245.2
1186.0,Richard Ottoway,Single Donation Entity,5245.2,1,5245.2
1187.0,Teddy Taylor,Single Donation Entity,5245.2,1,5245.2
1188.0,Mark Oaten,Small Entity,29467.28,7,4209.611428571428
1189.0,David Amess,Small Medium Entity,87063.27,21,4145.87
1190.0,David Marshall,Very Small Entity,10345.2,2,5172.6
1191.0,Douglas Henderson,Very Small Entity,6246.2,2,3123.1
1192.0,Christopher Beazley,Single Donation Entity,3933.9,1,3933.9
1193.0,James Elles,Single Donation Entity,3933.9,1,3933.9
1194.0,Arlene Mccarthy,Single Donation Entity,3933.9,1,3933.9
1195.0,Jeffrey Titford,Single Donation Entity,3933.9,1,3933.9
1196.0,Edward Mcmillan-Scott,Single Donation Entity,3933.9,1,3933.9
1197.0,John C. Bowis,Single Donation Entity,3933.9,1,3933.9
1198.0,Bashir Khanbhai,Single Donation Entity,3933.9,1,3933.9
1199.0,David Martin,Single Donation Entity,3933.9,1,3933.9
1200.0,John Purvis,Single Donation Entity,3933.9,1,3933.9
1201.0,Robert Sturdy,Single Donation Entity,3933.9,1,3933.9
1202.0,Frank Doran,Single Donation Entity,5245.2,1,5245.2
1203.0,Leeds Liberal Democrat Federation,Single Donation Entity,3000.0,1,3000.0
1204.0,Christopher Ruane,Very Small Entity,12045.2,3,4015.066666666667
1205.0,Tim Loughton,Small Medium Entity,181996.07,27,6740.595185185185
1206.0,Robert N Wareing,Very Small Entity,10345.2,2,5172.6
1207.0,John Mcfall,Small Entity,21901.72,6,3650.286666666667
1209.0,Mike Gapes,Small Entity,45451.2,10,4545.12
1210.0,John Barrett,Single Donation Entity,5245.2,1,5245.2
1211.0,Michael Thomas Hancock,Very Small Entity,7245.2,2,3622.6
1212.0,Helen Jones,Very Small Entity,10121.51,3,3373.8366666666666
1213.0,Jeff Ennis,Very Small Entity,6845.2,2,3422.6
1214.0,Greg Pope,Single Donation Entity,5100.0,1,5100.0
1215.0,Jackie Lawrence,Single Donation Entity,5245.2,1,5245.2
1216.0,Dame Joan Ruddock,Very Small Entity,7996.82,2,3998.41
1217.0,Michael Mayes,Single Donation Entity,5245.2,1,5245.2
1218.0,Diana Wallis,Single Donation Entity,3825.0,1,3825.0
1219.0,Paul Keetch,Very Small Entity,13245.2,2,6622.6
1220.0,Barry Gardiner,Small Medium Entity,536896.48,50,10737.9296
1221.0,Wayne David,Small Entity,18191.739999999998,7,2598.8199999999997
1222.0,Bill Miller,Single Donation Entity,3933.9,1,3933.9
1223.0,Mark Fisher,Very Small Entity,16280.0,4,4070.0
1224.0,Adam Price,Very Small Entity,13345.2,3,4448.400000000001
1225.0,Archie Norman,Very Small Entity,10345.2,2,5172.6
1226.0,Lorna Fitzsimons,Very Small Entity,10345.2,2,5172.6
1227.0,Tim Yeo,Small Entity,53110.96,15,3540.730666666667
1228.0,Andrew Miller,Very Small Entity,16753.2,5,3350.6400000000003
1229.0,Alan Beith,Very Small Entity,10645.2,4,2661.3
1230.0,Caroline Jackson,Single Donation Entity,3933.9,1,3933.9
1231.0,John Lyons,Single Donation Entity,5245.2,1,5245.2
1232.0,Jean Lambert,Single Donation Entity,369.24,1,369.24
1233.0,Lembit Opik,Small Entity,17660.6,6,2943.433333333333
1234.0,Jim Cousins,Single Donation Entity,5245.2,1,5245.2
1235.0,Francis Maude,Very Small Entity,6246.2,2,3123.1
1236.0,Eluned Morgan,Single Donation Entity,3933.9,1,3933.9
1237.0,Barry Sheerman,Very Small Entity,15107.849999999999,4,3776.9624999999996
1238.0,Andrew Mackay,Very Small Entity,13536.2,3,4512.066666666667
1239.0,Ian Taylor Mbe,Very Small Entity,13855.2,5,2771.04
1240.0,Martin Salter,Single Donation Entity,5245.2,1,5245.2
1241.0,Richard Page,Single Donation Entity,5245.2,1,5245.2
1242.0,Ben Chapman,Very Small Entity,9139.0,3,3046.3333333333335
1243.0,Diana Mary Organ,Single Donation Entity,5245.2,1,5245.2
1244.0,Liz Lynne,Very Small Entity,10394.4,2,5197.2
1245.0,Malcolm Bruce,Small Entity,27203.91,10,2720.391
1246.0,Socialist Environment And Resources Association,Very Small Entity,10155.0,2,5077.5
1247.0,Helen Jackson,Single Donation Entity,5100.0,1,5100.0
1248.0,John Mann,Small Medium Entity,82860.82,30,2762.0273333333334
1249.0,David Cairns,Very Small Entity,11338.52,5,2267.704
1250.0,Vera Baird,Single Donation Entity,5245.2,1,5245.2
1251.0,Laurence Robertson,Small Entity,38453.79,12,3204.4825
1252.0,Gwyn Prosser,Single Donation Entity,5245.2,1,5245.2
1253.0,Paul Goggins,Single Donation Entity,5100.0,1,5100.0
1254.0,Simon Murphy,Single Donation Entity,6460.5,1,6460.5
1255.0,Keith Bradley,Single Donation Entity,5100.0,1,5100.0
1256.0,Geoffrey Van Orden,Single Donation Entity,3933.9,1,3933.9
1257.0,Angela Browning,Single Donation Entity,5245.2,1,5245.2
1258.0,Dave Watts,Very Small Entity,20167.370000000003,4,5041.842500000001
1259.0,Dr Lewis Moonie,Single Donation Entity,5245.2,1,5245.2
1260.0,Peter Hain,Small Medium Entity,423801.9,72,5886.137500000001
1261.0,James Purnell,Small Entity,22913.53,8,2864.19125
1262.0,Peter Kilfoyle,Single Donation Entity,5245.2,1,5245.2
1263.0,Gisela Stuart,Small Entity,25848.13,9,2872.0144444444445
1264.0,Michael Moore,Very Small Entity,14211.0,3,4737.0
1265.0,Eryl Mcnally,Single Donation Entity,3933.3,1,3933.3
1266.0,Bruce George,Very Small Entity,9885.1,3,3295.0333333333333
1267.0,Tony Lloyd,Small Entity,22050.91,9,2450.101111111111
1268.0,Phillip Hammond,Very Small Entity,6945.2,2,3472.6
1269.0,George Foulkes,Single Donation Entity,5245.2,1,5245.2
1270.0,Kenneth Clarke,Small Medium Entity,438033.82,72,6083.803055555556
1272.0,Scottish National Party Parliamentary Group,Very Small Entity,56648.55,3,18882.850000000002
1273.0,Snp Westminster Parliamentary Group,Single Donation Entity,27099.93,1,27099.93
1275.0,Paul Flynn,Single Donation Entity,5245.2,1,5245.2
1276.0,Peter Duncan,Single Donation Entity,5245.2,1,5245.2
1277.0,Tory Reform Group,Small Medium Entity,155087.0,47,3299.723404255319
1278.0,Parliamentary Mainstream,Small Medium Entity,97087.0,44,2206.5227272727275
1279.0,Conservatives For Change Ltd,Small Entity,189000.0,14,13500.0
1280.0,Thomas Clarke,Single Donation Entity,5245.2,1,5245.2
1281.0,Conservative Group For Europe,Small Medium Entity,188587.0,51,3697.7843137254904
1282.0,Harry Cohen,Single Donation Entity,5245.2,1,5245.2
1283.0,Andrew Rosindell,Small Medium Entity,182416.24,63,2895.495873015873
1284.0,Richard Burden,Small Entity,27874.65,10,2787.465
1285.0,Glyn Ford,Very Small Entity,29000.0,5,5800.0
1286.0,James Arbuthnot,Small Entity,23382.1,9,2598.011111111111
1287.0,Miss Anne Mcintosh,Single Donation Entity,5245.2,1,5245.2
1288.0,Simon Burns,Small Medium Entity,55055.2,16,3440.95
1289.0,Humfrey Malins Cbe,Single Donation Entity,5245.2,1,5245.2
1290.0,Wendy Alexander,Very Small Entity,12950.0,3,4316.666666666667
1291.0,Richard Spring,Small Entity,38548.15,12,3212.3458333333333
1292.0,Graham Brady,Small Entity,42945.42,7,6135.0599999999995
1293.0,Margaret Moran,Very Small Entity,8733.2,2,4366.6
1294.0,Robin Cook,Single Donation Entity,5245.2,1,5245.2
1295.0,Peter Luff,Small Entity,22379.2,6,3729.866666666667
1296.0,Theresa May,Small Medium Entity,281445.2,20,14072.26
1297.0,David Laurie Ruffley,Small Entity,68450.89,12,5704.240833333333
1298.0,John Spellar,Small Entity,40916.46,14,2922.6042857142857
1299.0,John Maples,Single Donation Entity,5245.2,1,5245.2
1300.0,Nicky Gavron,Very Small Entity,12446.1,4,3111.525
1301.0,Michael Martin,Single Donation Entity,5245.2,1,5245.2
1302.0,Richard Corbett,Very Small Entity,8694.42,2,4347.21
1303.0,A. A. Craig,Small Entity,12100.0,11,1100.0
1304.0,R Shannon,Single Donation Entity,3618.94,1,3618.94
1305.0,Conservative Christian Fellowship,Small Medium Entity,1123627.54,33,34049.3193939394
1306.0,Progress Ltd,Medium Entity,4706893.16,114,41288.53649122807
1307.0,Robert Key,Single Donation Entity,5245.2,1,5245.2
1308.0,Kevan Jones,Small Entity,32611.25,7,4658.75
1309.0,Nicolla Page,Single Donation Entity,10912.16,1,10912.16
1310.0,Norris For London Campaign,Small Medium Entity,493400.0,33,14951.515151515152
1311.0,David A Laws,Single Donation Entity,4000.0,1,4000.0
1312.0,Michael Howard,Small Medium Entity,164002.0,40,4100.05
1313.0,Steve Webb,Very Small Entity,3900.0,2,1950.0
1314.0,Karen Buck,Very Small Entity,38225.0,5,7645.0
1315.0,Dr Ashok Kumar,Small Entity,18882.8,7,2697.542857142857
1316.0,John Grogan,Small Entity,17002.0,6,2833.6666666666665
1317.0,Bill Wiggin,Very Small Entity,12000.0,3,4000.0
1318.0,Adam Holloway,Small Medium Entity,62682.0,22,2849.181818181818
1319.0,Mark Field,Small Entity,44690.0,12,3724.1666666666665
1320.0,Harriet Harman,Small Medium Entity,137535.6,52,2644.915384615385
1321.0,Michael Russell,Very Small Entity,8250.0,2,4125.0
